# time     av_coherence           domains   magnetization^2        coh_avrho   purity_avrho  prob_equireached  arrival_counts  log10_nonzeros
   89     12.5256167997      0.2189166667    232.7745045062      0.3860077858      0.3966257572      0.8905415535          68    4.4612433376
   90     12.2303797554      0.2128333333    233.4180774361      0.3790514469      0.3993367553      0.8935832977          73    4.4612433376
   91     11.9970510487      0.2080833333    233.9313686262      0.3727755547      0.4014617801      0.8959583044          57    4.4612433376
   92     11.7881060246      0.2035000000    234.4141820088      0.3701953888      0.4035207629      0.8982499838          55    4.4612433376
   93     11.5629821703      0.1992500000    234.8647864261      0.3684473038      0.4054280519      0.9003750086          51    4.4612433376
   94     11.3149899623      0.1941666667    235.4033784752      0.3626313210      0.4077179432      0.9029166698          61    4.4612433376
   95     10.9827027056      0.1875833333    236.0943113763      0.3545086384      0.4106892943      0.9062083364          79    4.4612433376
   96     10.7483115606      0.1834166667    236.5419051231      0.3499093056      0.4125788808      0.9082917571          50    4.4612433376
   97     10.5501343314      0.1793333333    236.9802534058      0.3464386463      0.4144329727      0.9103333354          49    4.4612433376
   98     10.3354124892      0.1755833333    237.3728497973      0.3454413414      0.4161399603      0.9122083187          45    4.4612433376
   99     10.0901758666      0.1707500000    237.8844642220      0.3403515816      0.4183430672      0.9146249294          58    4.4612433376
  100      9.8470376007      0.1661666667    238.3511435603      0.3341608047      0.4204435050      0.9169166684          55    4.4612433376
